,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nombre d'IVG selon le département ou la région de résidence de la femme, le lieu de réalisation de l'IVG et la méthode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,non compris les ré-interventions dans un délai de 9 semaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2022,,,,,,,2021,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,IVG en établissements hospitaliers,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,,,,,,,,,,,,,,,,,,,,
,,Zone géographique,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral 1,centres 2,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,,,,,,,,,,,,,,,,,,,,,
,,Finistère,567,1 179,2,504,8,2 260,"12,7",540,1 045,11,441,7,2 044,"11,5",609,1 061,14,350,7,2 041,"11,5",,,,,,,,,,,,,,,,,,,,,
,,Gard,399,966,42,1 334,22,2 763,"18,9",361,1 006,14,1 128,10,2 519,"17,2",465,998,32,1 042,15,2 552,"17,3",,,,,,,,,,,,,,,,,,,,,
,,Haute-Garonne,1 178,959,35,3 124,97,5 393,"15,6",1 183,1 022,30,2 755,134,5 124,"14,9",1 233,1 147,28,2 669,184,5 261,"15,5",,,,,,,,,,,,,,,,,,,,,
,,Gers,100,108,6,174,54,442,"13,4",95,154,5,112,52,418,"12,6",82,185,1,109,9,386,"11,6",,,,,,,,,,,,,,,,,,,,,
,,Gironde,1 473,1 207,46,2 859,320,5 905,"15,5",1 400,1 106,56,2 523,336,5 421,"14,4",1 441,1 250,37,2 339,353,5 420,"14,5",,,,,,,,,,,,,,,,,,,,,
,,Hérault,1 074,1 706,23,2 005,103,4 911,"18,5",1 001,1 832,18,1 697,86,4 634,"17,7",1 088,1 966,26,1 454,61,4 595,"17,6",,,,,,,,,,,,,,,,,,,,,
,,Ille-et-Vilaine,922,1 084,22,761,156,2 945,"11,8",871,1 185,14,443,125,2 638,"10,7",1 001,1 116,15,454,143,2 729,"11,1",,,,,,,,,,,,,,,,,,,,,
,,Indre,86,398,4,68,0,556,"15,0",63,358,3,65,2,491,"13,1",88,338,4,47,1,478,"12,6",,,,,,,,,,,,,,,,,,,,,
,,Indre-et-Loire,798,530,1,266,3,1 598,"12,3",749,456,7,201,8,1 421,"10,9",814,464,6,145,5,1 434,"11,0",,,,,,,,,,,,,,,,,,,,,
,,Isère,1 166,1 178,12,786,539,3 681,"13,3",1 106,1 235,25,575,439,3 380,"12,2",1 258,1 318,16,609,385,3 586,"13,0",,,,,,,,,,,,,,,,,,,,,
,,Jura,92,356,3,160,0,611,"12,7",106,364,2,118,3,593,"12,2",104,354,5,140,0,603,"12,2",,,,,,,,,,,,,,,,,,,,,
,,Landes,295,385,5,535,10,1 230,"15,8",329,289,5,412,7,1 042,"13,3",355,350,8,338,6,1 057,"13,5",,,,,,,,,,,,,,,,,,,,,
,,Loir-et-Cher,267,439,3,72,5,786,"13,1",279,369,2,43,2,695,"11,5",228,410,4,32,2,676,"11,1",,,,,,,,,,,,,,,,,,,,,
,,Loire,439,863,8,694,187,2 191,"14,2",427,881,3,578,167,2 056,"13,3",453,814,7,522,137,1 933,"12,5",,,,,,,,,,,,,,,,,,,,,
,,Haute-Loire,102,292,3,112,14,523,"12,6",81,289,3,97,4,474,"11,4",75,274,5,111,2,467,"11,1",,,,,,,,,,,,,,,,,,,,,
,,Loire-Atlantique,1 674,1 584,21,751,18,4 048,"12,4",1 684,1 578,11,521,12,3 806,"11,7",1 762,1 581,50,425,7,3 825,"11,9",,,,,,,,,,,,,,,,,,,,,
